Date,Open,High,Low,Close,Volume_From,Volume_To,Year
2020-03-03,8765.68,8863.91,8690.82,8773.78,22115.34,194233894.05,2020
2020-03-04,8773.78,9179.74,8772.83,9074.82,33760.74,305196274.33,2020
2020-03-05,9074.82,9183.26,9015.35,9160.39,21090.1,192168163.64,2020
2020-03-06,9160.39,9225.42,8880.33,8903.72,20669.17,187063951.77,2020
2020-03-07,8903.72,8920.28,8033.06,8057.67,63231.33,533371350.28,2020
2020-03-08,8057.67,8200.82,7664.34,7944.4,86700.45,682781069.24,2020
2020-03-09,7944.4,8165.09,7758.12,7894.66,53646.28,427332546.47,2020
2020-03-10,7894.66,7998.79,7614.48,7945.36,47596.23,372704355.27,2020
2020-03-11,7945.36,7984.16,4736.21,4916.78,286243.45,1769476928.68,2020
2020-03-12,4916.78,5984.55,3948.92,5632.58,319316.54,1663092005.9,2020
2020-03-13,5632.58,5665.57,5069.29,5181.77,87978.27,474539626.45,2020
2020-03-14,5181.77,5961.78,5114.06,5357.02,105160.64,568696762.62,2020
2020-03-15,5357.02,5364.93,4454.22,5045.0,203116.86,996661883.31,2020
2020-03-16,5045.0,5561.43,4950.9,5337.66,116314.49,618671971.75,2020
2020-03-17,5337.66,5451.02,5024.71,5413.06,109210.96,576456805.62,2020
2020-03-18,5413.06,6418.99,5268.33,6184.88,147007.71,868668216.67,2020
2020-03-19,6184.88,6932.04,5691.69,6206.44,148232.44,947038097.64,2020
2020-03-20,6206.44,6459.65,5876.79,6195.43,67262.29,415771088.67,2020
2020-03-21,6195.43,6415.14,5750.68,5828.15,75451.24,457211401.95,2020
2020-03-22,5828.15,6614.56,5703.64,6503.53,107692.99,667919370.22,2020
2020-03-23,6503.53,6857.49,6406.64,6767.18,105151.69,700444488.16,2020
2020-03-24,6767.18,6980.29,6483.0,6694.21,84721.04,566264216.07,2020
2020-03-25,6694.21,6796.12,6539.61,6757.95,45203.7,302121295.09,2020
2020-03-26,6757.95,6876.97,6312.53,6382.8,57134.12,381303011.52,2020
2020-03-27,6382.8,6384.56,6051.23,6252.49,60814.06,378476570.98,2020
2020-03-28,6252.49,6286.96,5882.2,5882.2,47232.21,286789900.17,2020
2020-03-29,5882.2,6616.94,5874.8,6403.31,70623.69,445848282.11,2020
2020-03-30,6403.31,6531.66,6350.61,6423.61,36169.65,233613490.19,2020
2020-03-31,6423.61,6716.04,6168.0,6663.63,59228.61,377164250.74,2020
2020-04-01,6663.63,7245.15,6585.75,6804.42,93059.32,635319847.54,2020
2020-04-02,6804.42,7044.01,6618.82,6743.68,55578.32,379639119.54,2020
2020-04-03,6743.68,7010.45,6671.05,6875.95,33774.99,230044243.33,2020
2020-04-04,6875.95,6910.39,6689.07,6781.64,26776.41,182019861.58,2020
2020-04-05,6781.64,7359.05,6779.91,7347.22,78676.82,560075869.57,2020
2020-04-06,7347.22,7462.51,7084.52,7201.57,70648.16,516422836.71,2020
2020-04-07,7201.57,7425.85,7157.96,7367.37,60952.77,445330043.76,2020
2020-04-08,7367.37,7374.01,7124.88,7294.55,44071.93,321287689.9,2020
2020-04-09,7294.55,7304.8,6757.67,6876.49,63355.47,440132415.16,2020
2020-04-10,6876.49,6956.27,6785.52,6887.6,24917.32,171352839.69,2020
2020-04-11,6887.6,7199.97,6802.16,6913.76,42382.58,297514761.29,2020
2020-04-12,6913.76,6913.76,6612.34,6859.43,63091.4,426458894.19,2020
2020-04-13,6859.43,6986.75,6773.97,6879.44,44630.96,307409556.74,2020
2020-04-14,6879.44,6937.49,6614.79,6629.54,49708.81,336722796.75,2020
2020-04-15,6629.54,7207.11,6487.08,7114.55,98809.08,685621725.46,2020
2020-04-16,7114.55,7155.17,7005.79,7037.12,45840.75,324325510.78,2020
2020-04-17,7037.12,7304.35,7028.43,7264.29,35919.74,258251102.86,2020
2020-04-18,7264.29,7276.84,7072.33,7132.88,29493.83,211422409.66,2020
2020-04-19,7132.88,7225.23,6770.07,6842.45,64707.0,452319848.99,2020
2020-04-20,6842.45,6948.78,6779.51,6855.11,44531.91,305844254.34,2020
2020-04-21,6855.11,7165.43,6831.44,7135.41,43780.72,308254465.67,2020
2020-04-22,7135.41,7731.56,7041.2,7489.25,81106.87,599195847.97,2020
2020-04-23,7489.25,7607.28,7408.35,7509.44,51734.5,389027134.45,2020
2020-04-24,7509.44,7708.4,7445.98,7546.92,30165.48,227962632.37,2020
2020-04-24,7509.44,7708.4,7445.98,7546.92,30165.48,227962632.37,2020
2020-04-25,7546.92,7705.3,7497.88,7701.35,33092.14,251857766.26,2020
2020-04-26,7701.35,7790.33,7639.98,7787.41,48551.15,374439201.77,2020
2020-04-27,7787.41,7791.85,7671.26,7760.32,38507.32,297442241.62,2020
2020-04-28,7760.32,8952.44,7733.02,8784.96,157978.19,1324299206.24,2020
2020-04-29,8784.96,9460.77,8416.64,8637.56,161267.28,1439132256.65,2020
2020-04-30,8637.56,9066.47,8631.39,8829.12,70407.63,620133839.66,2020
2020-05-01,8829.12,9013.29,8768.81,8981.11,36139.66,321429140.42,2020
2020-05-02,8981.11,9197.48,8735.78,8907.19,59476.78,534161419.79,2020
2020-05-03,8907.19,8968.9,8537.49,8881.65,64835.52,568639005.2,2020
2020-05-04,8881.65,9119.13,8781.58,9029.75,60185.36,538111122.64,2020
2020-05-05,9029.75,9408.99,8924.06,9153.2,88912.83,818515486.36,2020
2020-05-06,9153.2,10064.33,9042.52,9999.93,125991.41,1213223439.69,2020
2020-05-07,9999.93,10041.73,9728.64,9808.18,91540.3,907665361.58,2020
2020-05-08,9808.18,9912.22,9525.77,9541.13,59814.44,580103588.21,2020
2020-05-09,9541.13,9556.85,8228.22,8735.05,133597.2,1159765920.88,2020
2020-05-10,8735.05,9164.84,8228.58,8568.88,144898.27,1259789388.45,2020
2020-05-11,8568.88,8975.74,8541.95,8821.18,66073.43,580579256.62,2020
2020-05-12,8821.18,9407.67,8807.57,9317.44,68248.72,622255318.55,2020
2020-05-13,9317.44,9937.97,9263.29,9793.19,97176.37,936692997.58,2020
2020-05-14,9793.19,9841.71,9149.13,9311.69,84280.62,798930933.92,2020
2020-05-15,9311.69,9584.9,9224.32,9387.08,37023.76,348262438.61,2020
2020-05-16,9387.08,9885.55,9334.23,9670.56,52271.64,505834872.59,2020
2020-05-17,9670.56,9943.74,9476.37,9722.73,62325.78,606235218.3,2020
2020-05-18,9722.73,9890.69,9471.96,9780.2,60720.68,587660019.81,2020
2020-05-19,9780.2,9832.94,9323.82,9509.45,61892.78,593918718.08,2020
2020-05-20,9509.45,9566.81,8811.54,9059.11,87116.97,798218781.95,2020
2020-05-21,9059.11,9265.04,8936.82,9170.74,44400.9,405255700.32,2020
2020-05-22,9170.74,9311.34,9101.08,9186.19,23636.66,217819517.42,2020
2020-05-23,9186.19,9307.11,8707.14,8718.49,45736.61,412753415.47,2020
2020-05-24,8718.49,8977.43,8639.46,8901.48,43894.32,386241517.98,2020
2020-05-25,8901.48,9011.53,8705.66,8844.5,39855.17,352930782.24,2020
2020-05-26,8844.5,9222.3,8820.55,9204.62,42022.36,381475134.6,2020
2020-05-27,9204.62,9619.34,9112.3,9579.71,56625.62,530613444.11,2020
2020-05-28,9579.71,9601.43,9344.8,9424.62,40183.32,379875666.16,2020
2020-05-29,9424.62,9735.73,9340.45,9699.78,24640.28,235049817.45,2020
2020-05-30,9699.78,9703.51,9400.25,9450.47,22242.38,212143031.97,2020
2020-05-31,9450.47,10359.02,9421.6,10211.23,44485.42,435270237.66,2020
2020-06-01,10211.23,10232.25,9344.53,9523.75,82606.91,812990990.27,2020
2020-06-02,9523.75,9666.25,9408.56,9666.06,33114.73,316212538.78,2020
2020-06-03,9666.06,9877.89,9470.9,9794.55,43080.32,418578381.27,2020
2020-06-04,9794.55,9846.54,9611.19,9622.02,41806.08,406449067.36,2020
2020-06-05,9622.02,9728.4,9536.15,9671.46,22979.04,221180782.78,2020
2020-06-06,9671.46,9806.21,9410.33,9750.7,39020.91,374577294.36,2020
2020-06-07,9750.7,9801.19,9658.72,9782.58,32766.08,318606275.83,2020
2020-06-08,9782.58,9884.83,9604.13,9779.7,38753.41,376816490.4,2020
2020-06-09,9779.7,9990.4,9708.63,9891.84,40206.35,395005942.58,2020
2020-06-10,9891.84,9970.77,9093.42,9268.13,86717.5,827582593.73,2020
2020-06-11,9268.13,9548.13,9238.24,9464.23,40820.42,384322097.92,2020
2020-06-12,9464.23,9492.0,9363.89,9474.65,16597.62,156509665.57,2020
2020-06-13,9474.65,9479.56,9251.02,9333.7,19334.41,181308843.48,2020
2020-06-14,9333.7,9498.69,8909.5,9429.65,66872.84,616170633.01,2020
2020-06-15,9429.65,9585.17,9383.33,9526.7,39887.07,378768702.55,2020
2020-06-16,9526.7,9550.06,9243.06,9459.13,34516.51,325191529.46,2020
2020-06-17,9459.13,9480.04,9276.18,9380.67,25143.4,236301644.47,2020
2020-06-18,9380.67,9419.99,9239.58,9301.83,31669.73,295439171.8,2020
2020-06-19,9301.83,9394.04,9179.1,9359.18,19608.75,182464228.19,2020
2020-06-20,9359.18,9418.22,9282.53,9292.81,13199.69,123480945.26,2020
2020-06-21,9292.81,9774.79,9283.26,9691.61,41271.48,393567343.68,2020
2020-06-22,9691.61,9720.11,9580.47,9624.3,30724.93,296221140.11,2020
2020-06-23,9624.3,9664.38,9206.05,9292.94,49186.2,461570781.81,2020
2020-06-24,9292.94,9335.65,9000.53,9241.32,47297.43,435446758.27,2020
2020-06-25,9241.32,9289.32,9041.42,9158.07,40519.91,371373315.29,2020
2020-06-26,9158.07,9190.27,8867.34,9007.14,28152.32,254990739.33,2020
2020-06-27,9007.14,9189.74,8946.05,9120.39,19775.94,179558602.81,2020
2020-06-28,9120.39,9234.33,9026.42,9187.07,31119.19,283764928.26,2020
2020-06-29,9187.07,9200.99,9068.77,9136.47,23376.63,213905502.74,2020
2020-06-30,9136.47,9299.67,9097.33,9238.89,29846.4,274835041.39,2020
2020-07-01,9238.89,9267.84,8954.67,9092.8,37657.49,343433369.43,2020
2020-07-02,9092.8,9127.05,9047.38,9066.46,21807.46,198428092.21,2020
2020-07-03,9066.46,9195.91,9052.4,9142.2,16185.04,147598290.89,2020
2020-07-04,9142.2,9152.87,8935.9,9081.44,17548.22,159006413.09,2020
2020-07-05,9081.44,9372.09,9067.64,9347.05,36844.23,340664721.17,2020
2020-07-06,9347.05,9378.69,9208.31,9257.32,25836.94,239497399.36,2020
2020-07-07,9257.32,9471.65,9236.9,9439.2,37422.23,350318105.76,2020
2020-07-08,9439.2,9441.67,9171.37,9238.95,30177.18,280648694.08,2020
2020-07-09,9238.95,9317.31,9128.71,9288.57,24422.31,224680670.05,2020
2020-07-10,9288.57,9302.22,9188.13,9237.13,11785.42,108899834.63,2020
2020-07-11,9237.13,9339.99,9169.13,9300.95,16385.5,151649367.79,2020
2020-07-12,9300.95,9336.42,9201.18,9237.89,25872.33,240081841.21,2020
2020-07-13,9237.89,9279.57,9109.7,9256.07,25865.27,238308476.7,2020
2020-07-14,9256.07,9272.57,9160.89,9193.22,23480.12,216386874.26,2020
2020-07-15,9193.22,9216.53,9029.17,9133.23,27882.77,254255550.28,2020
2020-07-16,9133.23,9183.08,9080.61,9156.79,20542.6,187710134.42,2020
2020-07-17,9156.79,9205.94,9125.92,9177.22,11952.82,109563331.59,2020
2020-07-18,9177.22,9238.3,9113.41,9216.02,12797.83,117297958.15,2020
2020-07-19,9216.02,9224.76,9136.9,9164.42,18729.9,171877002.63,2020
2020-07-20,9164.42,9435.55,9162.25,9392.83,34505.35,337645738.93,2020
2020-07-21,9392.83,9551.87,9289.85,9537.24,29959.04,281661129.12,2020
2020-07-22,9537.24,9675.5,9458.25,9615.21,43462.72,415079930.39,2020
2020-07-23,9615.21,9647.83,9477.19,9550.23,33810.92,323092524.09,2020
2020-07-24,9550.23,9744.72,9536.76,9708.41,24211.0,233301043.7,2020
2020-07-25,9708.41,10140.55,9659.08,9942.01,42161.94,417337407.31,2020
2020-07-26,9942.01,11397.48,9935.51,11042.94,128836.3,1363674374.42,2020
2020-07-27,11042.94,11253.39,10590.98,10933.26,85478.78,938667838.04,2020
2020-07-28,10933.26,11348.53,10854.04,11112.04,61949.48,689206497.21,2020
2020-07-29,11112.04,11182.76,10875.14,11113.66,45655.22,503563543.58,2020
2020-07-30,11113.66,11454.11,10981.87,11352.72,54108.77,608151203.91,2020
2020-07-31,11352.72,11874.77,11240.98,11812.42,63746.48,741252933.72,2020
2020-08-01,11812.42,12106.89,10694.22,11063.5,63507.01,721639453.44,2020
2020-08-02,11063.5,11476.29,10945.66,11234.73,42060.85,473995003.36,2020
2020-08-03,11234.73,11415.16,11021.07,11194.18,35052.44,393301819.23,2020
2020-08-04,11194.18,11791.62,11095.47,11752.05,48146.58,555395574.17,2020
2020-08-05,11752.05,11909.81,11577.8,11771.27,49916.86,587033759.68,2020
2020-08-06,11771.27,11912.62,11350.42,11603.82,55865.16,651142052.53,2020
2020-08-07,11603.82,11811.4,11534.87,11770.77,23238.62,271582305.12,2020
2020-08-08,11770.77,11802.93,11533.93,11686.34,19874.64,231830330.42,2020
2020-08-09,11686.34,12074.31,11640.41,11897.41,56105.27,667803525.71,2020
2020-08-10,11897.41,11940.4,11138.6,11389.01,62677.5,724227264.93,2020
2020-08-11,11389.01,11621.05,11182.8,11570.19,37568.86,430758054.54,2020
2020-08-12,11570.19,11795.34,11284.57,11790.68,42205.26,487564726.98,2020
2020-08-13,11790.68,11863.43,11657.2,11774.52,37248.83,437825096.08,2020
2020-08-14,11774.52,11981.62,11697.88,11860.91,31094.75,369258184.57,2020
2020-08-15,11860.91,11934.96,11701.22,11917.97,22029.01,260716863.02,2020
2020-08-16,11917.97,12474.73,11775.66,12301.19,56064.01,682170133.05,2020
2020-08-17,12301.19,12397.4,11855.24,11956.69,49904.68,604246043.52,2020
2020-08-18,11956.69,12021.8,11592.2,11760.37,50094.06,590122894.96,2020
2020-08-19,11760.37,11888.72,11679.03,11863.43,43209.58,510502416.84,2020
2020-08-20,11863.43,11882.67,11494.52,11527.35,63548.27,745059089.73,2020
2020-08-21,11527.35,11686.02,11379.06,11670.42,49538.11,572197825.57,2020
2020-08-22,11670.42,11713.62,11521.6,11651.52,33405.25,388308826.36,2020
2020-08-23,11651.52,11827.45,11594.64,11756.4,39119.97,459366140.6,2020
2020-08-24,11756.4,11767.64,11130.36,11330.56,50836.08,583786229.48,2020
2020-08-25,11330.56,11542.65,11259.23,11466.89,27168.29,309986442.65,2020
2020-08-26,11466.89,11591.64,11135.52,11331.02,40978.91,464957172.93,2020
2020-08-27,11331.02,11553.81,11289.07,11535.21,30815.36,353027933.9,2020
2020-08-28,11535.21,11585.98,11433.8,11480.48,16305.87,187746012.8,2020
2020-08-29,11480.48,11718.98,11470.07,11716.54,16398.78,190649396.2,2020
2020-08-30,11716.54,11775.27,11586.36,11657.81,26331.03,307926585.75,2020
2020-08-31,11657.81,12062.06,11540.42,11926.69,45202.86,537292263.85,2020
2020-09-01,11926.69,11954.28,11219.19,11397.9,53717.87,618129314.2,2020
2020-09-02,11397.9,11469.2,10017.43,10174.62,82662.97,894736678.62,2020
2020-09-03,10174.62,10638.71,10020.02,10467.33,54204.6,562742223.01,2020
2020-09-04,10467.33,10570.95,9880.05,10167.97,60292.64,614402772.13,2020
2020-09-05,10167.97,10361.12,10019.56,10260.37,29450.0,300644746.65,2020
2020-09-06,10260.37,10411.92,9893.68,10379.08,41648.61,422137373.09,2020
2020-09-07,10379.08,10443.72,9855.68,10128.54,54770.65,553186747.41,2020
2020-09-08,10128.54,10349.09,9989.63,10228.85,33984.18,346738492.44,2020
2020-09-09,10228.85,10493.32,10221.37,10345.68,43679.85,452098495.16,2020
2020-09-10,10345.68,10412.6,10215.49,10398.5,25800.65,266084892.24,2020
2020-09-11,10398.5,10486.76,10282.43,10448.0,17704.47,184001054.5,2020
2020-09-12,10448.0,10578.97,10224.4,10332.36,28905.77,299956975.1,2020
2020-09-13,10332.36,10753.33,10259.62,10678.31,34032.31,359274837.28,2020
2020-09-14,10678.31,10936.89,10632.26,10786.7,34224.45,369481767.48,2020
2020-09-15,10786.7,11094.7,10670.02,10957.1,34093.35,372894154.99,2020
2020-09-16,10957.1,11047.25,10755.99,10945.14,26980.75,293584349.54,2020
2020-09-17,10945.14,11040.66,10823.93,10937.89,22774.38,248821618.73,2020
2020-09-18,10937.89,11173.88,10898.63,11083.61,17491.35,193207449.76,2020
2020-09-19,11083.61,11083.9,10775.23,10921.85,21791.13,237773866.86,2020
2020-09-20,10921.85,10992.25,10319.73,10418.14,44906.88,473754186.1,2020
2020-09-21,10418.14,10576.92,10365.99,10534.73,28764.85,301280976.85,2020
2020-09-22,10534.73,10546.48,10166.62,10238.09,26680.48,277589382.46,2020
2020-09-23,10238.09,10792.17,10213.75,10742.98,29020.54,304956298.0,2020
2020-09-24,10742.98,10762.38,10562.14,10694.12,33843.79,360929423.35,2020
2020-09-25,10694.12,10822.99,10658.15,10734.23,13794.51,148097714.06,2020
2020-09-26,10734.23,10810.35,10612.42,10781.47,13820.35,148127427.26,2020
2020-09-27,10781.47,10951.6,10649.18,10699.0,32269.15,350615325.76,2020
2020-09-28,10699.0,10863.02,10641.03,10841.29,31167.43,334584439.48,2020
2020-09-29,10841.29,10850.12,10666.17,10779.42,29556.58,317604086.65,2020
2020-09-30,10779.42,10926.47,10454.66,10622.79,39457.33,422940486.72,2020
2020-10-01,10622.79,10668.49,10388.07,10576.64,33798.95,355424408.51,2020
2020-10-02,10576.64,10602.28,10507.49,10552.04,10469.92,110570157.37,2020
2020-10-03,10552.04,10699.94,10534.5,10675.52,10487.7,111420779.07,2020
2020-10-04,10675.52,10799.53,10627.77,10795.11,23891.17,255950434.22,2020
2020-10-05,10795.11,10801.66,10533.32,10603.9,30869.62,329346366.4,2020
2020-10-06,10603.9,10679.76,10554.41,10672.67,19601.45,208253472.75,2020
2020-10-07,10672.67,10957.42,10541.2,10929.4,39280.36,423807796.12,2020
2020-10-08,10929.4,11109.32,10839.3,11058.78,32665.61,359802403.01,2020
2020-10-09,11058.78,11485.43,11057.98,11301.57,26181.83,296925751.27,2020
2020-10-10,11301.57,11434.1,11284.09,11375.51,17795.07,202131016.49,2020
2020-10-11,11375.51,11725.28,11223.99,11539.76,41705.77,478557074.68,2020
2020-10-12,11539.76,11561.69,11314.56,11427.29,33529.75,383360256.66,2020
2020-10-13,11427.29,11550.25,11298.88,11429.3,22758.2,259711904.03,2020
2020-10-14,11429.3,11607.59,11269.05,11508.31,33044.49,377801262.9,2020
2020-10-15,11508.31,11545.35,11224.89,11326.25,29300.16,332320579.31,2020
2020-10-16,11326.25,11410.01,11270.69,11367.65,9901.25,112306061.3,2020
2020-10-17,11367.65,11513.68,11357.25,11513.33,11528.41,131886570.58,2020
2020-10-18,11513.33,11821.95,11417.11,11756.88,39224.67,456404609.75,2020
2020-10-19,11756.88,12047.73,11688.39,11921.78,48504.61,576128149.71,2020
2020-10-20,11921.78,13236.39,11900.51,12813.11,103080.18,1296152945.69,2020
2020-10-21,12813.11,13197.69,12700.74,12990.25,57124.85,739591002.3,2020
2020-10-22,12990.25,13031.82,12732.62,12937.2,32269.84,416662855.54,2020
2020-10-23,12937.2,13167.31,12886.47,13126.13,20932.05,273005904.67,2020
2020-10-24,13126.13,13346.7,12910.39,13041.21,28208.48,368884232.62,2020
2020-10-25,13041.21,13241.79,12797.05,13069.43,35322.99,460984686.3,2020
2020-10-26,13069.43,13783.14,13060.64,13646.02,44978.37,603406480.39,2020
2020-10-27,13646.02,13855.57,12906.15,13285.97,32501.89,434942187.78,2020
2020-10-28,13285.97,13643.6,12985.56,13462.18,41497.54,555737562.11,2020
2020-10-29,13462.18,13674.89,13132.53,13565.95,56364.21,756044940.71,2020
2020-10-30,13565.95,14077.8,13432.24,13803.41,43579.77,600104833.89,2020
2020-10-31,13803.41,13897.02,13630.22,13761.72,20841.63,286724152.06,2020
2020-11-01,13761.72,13828.48,13221.65,13571.24,33465.17,453096297.52,2020
2020-11-02,13571.24,14071.54,13300.84,14023.78,21969.7,300271386.78,2020
2020-11-03,14023.78,14258.9,13539.13,14157.73,30406.02,423118194.37,2020
2020-11-04,14157.73,15739.47,14114.37,15599.92,42121.25,625288741.44,2020
2020-11-05,15599.92,15948.88,15219.57,15590.62,34543.56,538014394.46,2020
2020-11-06,15590.62,15765.02,14427.34,14838.16,25695.27,388303730.2,2020
2020-11-07,14838.16,15653.89,14739.11,15488.25,18706.65,285202500.11,2020
2020-11-08,15488.25,15812.23,14833.13,15335.03,32088.79,492570531.42,2020
2020-11-09,15335.03,15476.99,15099.11,15313.73,23031.66,352628988.82,2020
2020-11-10,15313.73,15983.03,15288.76,15707.08,45852.83,717920492.19,2020
2020-11-11,15707.08,16348.99,15476.25,16306.53,67322.57,1074746061.94,2020
2020-11-12,16306.53,16482.62,15975.8,16332.85,42676.28,694320640.17,2020
2020-11-13,16332.85,16334.29,15720.61,16075.95,28331.05,452657737.75,2020
2020-11-14,16075.95,16156.82,15796.03,15964.7,17966.53,286912254.78,2020
2020-11-15,15964.7,16876.48,15877.77,16721.46,41641.22,685608661.41,2020
2020-11-16,16721.46,17857.37,16563.5,17681.54,62123.13,1072294334.69,2020
2020-11-17,17681.54,18466.1,17260.91,17786.27,80691.42,1441862086.0,2020
2020-11-18,17786.27,18172.87,17365.08,17824.64,48224.86,859856045.56,2020
2020-11-19,17824.64,18814.87,17764.07,18672.78,51122.68,939934212.29,2020
2020-11-20,18672.78,18966.12,18359.06,18704.06,37702.81,705040526.65,2020
2020-11-21,18704.06,18757.55,17635.18,18430.59,43464.62,796767991.89,2020
2020-11-22,18430.59,18761.66,18010.51,18385.74,48994.17,902518528.75,2020
2020-11-23,18385.74,19419.49,18117.78,19157.16,74142.3,1403472685.29,2020
2020-11-24,19157.16,19488.81,18519.89,18725.76,59989.48,1141495120.46,2020
2020-11-25,18725.76,18907.31,16270.37,17175.86,129609.34,2220672632.83,2020
2020-11-26,17175.86,17479.12,16462.87,17155.0,61052.47,1034426524.1,2020
2020-11-27,17155.0,17893.95,16895.0,17739.9,34697.03,605284901.68,2020
2020-11-28,17739.9,18347.24,17543.55,18199.23,27161.16,489679989.73,2020
2020-11-29,18199.23,19850.23,18199.03,19686.87,77985.3,1493787961.07,2020
2020-11-30,19686.87,19911.79,18194.17,18792.03,91108.23,1743191338.61,2020
2020-12-01,18792.03,19337.16,18350.0,19226.19,47787.81,903817773.96,2020
2020-12-02,19226.19,19608.49,18888.12,19448.44,38699.87,747088833.15,2020
2020-12-03,19448.44,19541.62,18603.79,18665.0,42234.35,804366524.28,2020
